,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
542,600543.SH,20210104,9.54,9.99,9.54,9.73,9.51,0.22,2.3134,359221.95,350403.219
541,600543.SH,20210105,9.7,10.04,9.49,9.58,9.73,-0.15,-1.5416,369731.92,358763.767
540,600543.SH,20210106,9.2,9.36,8.73,9.06,9.58,-0.52,-5.428,383561.64,346691.283
539,600543.SH,20210107,9.0,9.0,8.2,8.3,9.06,-0.76,-8.3885,320873.24,271441.105
538,600543.SH,20210108,8.27,8.61,8.14,8.23,8.3,-0.07,-0.8434,233957.44,195528.89
537,600543.SH,20210111,8.01,8.15,7.58,7.8,8.23,-0.43,-5.2248,243053.14,189356.313
536,600543.SH,20210112,7.73,8.15,7.6,7.84,7.8,0.04,0.5128,203511.95,160509.681
535,600543.SH,20210113,7.9,7.94,7.36,7.43,7.84,-0.41,-5.2296,202857.18,153943.706
534,600543.SH,20210114,7.35,7.41,7.07,7.15,7.43,-0.28,-3.7685,162430.15,116636.842
533,600543.SH,20210115,7.12,7.22,6.96,7.16,7.15,0.01,0.1399,121916.48,86263.101
532,600543.SH,20210118,7.26,7.88,7.07,7.88,7.16,0.72,10.0559,158130.21,119116.827
531,600543.SH,20210119,8.3,8.67,8.21,8.44,7.88,0.56,7.1066,425922.89,362024.609
530,600543.SH,20210120,8.17,8.27,7.69,8.11,8.44,-0.33,-3.91,397446.63,316562.97
529,600543.SH,20210121,7.97,8.24,7.8,8.07,8.11,-0.04,-0.4932,285542.33,227817.478
528,600543.SH,20210122,8.0,8.13,7.64,7.69,8.07,-0.38,-4.7088,178546.37,139285.89
527,600543.SH,20210125,7.65,7.92,7.45,7.74,7.69,0.05,0.6502,167592.12,130086.336
526,600543.SH,20210126,7.67,7.7,7.35,7.39,7.74,-0.35,-4.522,144488.97,107688.076
525,600543.SH,20210127,7.49,8.04,7.13,7.72,7.39,0.33,4.4655,211845.64,159884.422
524,600543.SH,20210128,7.53,7.59,7.22,7.26,7.72,-0.46,-5.9585,150228.34,110868.145
