,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
542,000070.SZ,20210104,9.4,9.62,9.3,9.6,9.21,0.39,4.2345,147877.25,140067.3
541,000070.SZ,20210105,9.58,9.6,9.37,9.5,9.6,-0.1,-1.0417,111396.56,105578.297
540,000070.SZ,20210106,9.5,9.5,9.17,9.25,9.5,-0.25,-2.6316,138414.89,127830.164
539,000070.SZ,20210107,9.25,9.25,8.78,8.88,9.25,-0.37,-4.0,150462.86,134622.26
538,000070.SZ,20210108,8.88,9.13,8.88,8.96,8.88,0.08,0.9009,86949.98,78436.424
537,000070.SZ,20210111,8.99,9.1,8.52,8.59,8.96,-0.37,-4.1295,168050.62,146542.196
536,000070.SZ,20210112,8.62,8.67,8.47,8.55,8.59,-0.04,-0.4657,101977.56,87085.216
535,000070.SZ,20210113,8.5,8.74,8.2,8.56,8.55,0.01,0.117,144290.02,121631.016
534,000070.SZ,20210114,8.5,8.68,8.35,8.57,8.56,0.01,0.1168,90689.12,77267.215
533,000070.SZ,20210115,8.58,8.71,8.44,8.48,8.57,-0.09,-1.0502,83776.21,71645.23
532,000070.SZ,20210118,8.48,8.66,8.44,8.61,8.48,0.13,1.533,100739.25,86159.192
531,000070.SZ,20210119,8.62,8.73,8.53,8.64,8.61,0.03,0.3484,88157.47,76124.144
530,000070.SZ,20210120,8.62,8.72,8.5,8.7,8.64,0.06,0.6944,77059.56,66502.136
529,000070.SZ,20210121,8.62,8.71,8.49,8.64,8.7,-0.06,-0.6897,91565.92,78877.948
528,000070.SZ,20210122,8.61,8.62,8.25,8.33,8.64,-0.31,-3.588,128563.53,107849.116
527,000070.SZ,20210125,8.3,8.3,8.0,8.02,8.33,-0.31,-3.7215,127493.98,102891.126
526,000070.SZ,20210126,8.0,8.1,7.74,7.79,8.02,-0.23,-2.8678,97479.65,76960.653
525,000070.SZ,20210127,7.79,7.9,7.72,7.77,7.79,-0.02,-0.2567,60324.99,47050.755
524,000070.SZ,20210128,7.77,7.87,7.7,7.7,7.77,-0.07,-0.9009,64829.55,50349.323
523,000070.SZ,20210129,7.7,7.76,7.36,7.47,7.7,-0.23,-2.987,108021.31,81028.113
522,000070.SZ,20210201,7.48,7.68,7.3,7.38,7.47,-0.09,-1.2048,72536.42,53987.001
521,000070.SZ,20210202,7.38,7.52,7.24,7.36,7.38,-0.02,-0.271,63916.77,47169.953
520,000070.SZ,20210203,7.33,7.37,7.11,7.11,7.36,-0.25,-3.3967,84812.43,61284.063
519,000070.SZ,20210204,7.12,7.16,6.77,7.01,7.11,-0.1,-1.4065,123602.18,85793.872
518,000070.SZ,20210205,7.02,7.24,6.89,6.89,7.01,-0.12,-1.7118,66024.87,46303.034
517,000070.SZ,20210208,6.87,6.96,6.75,6.88,6.89,-0.01,-0.1451,65861.3,45206.931
516,000070.SZ,20210209,6.93,7.17,6.88,7.12,6.88,0.24,3.4884,84866.2,59853.943
515,000070.SZ,20210210,7.15,7.21,7.08,7.08,7.12,-0.04,-0.5618,61827.34,44125.747
514,000070.SZ,20210218,7.16,7.38,7.16,7.29,7.08,0.21,2.9661,86815.2,63294.753
513,000070.SZ,20210219,7.35,7.58,7.26,7.57,7.29,0.28,3.8409,89915.97,67031.595
512,000070.SZ,20210222,7.58,7.93,7.54,7.71,7.57,0.14,1.8494,122499.16,95147.771
511,000070.SZ,20210223,7.8,7.8,7.5,7.51,7.71,-0.2,-2.594,83181.36,63109.836
510,000070.SZ,20210224,7.52,7.73,7.5,7.56,7.51,0.05,0.6658,78368.95,59735.589
509,000070.SZ,20210225,7.76,7.76,7.43,7.46,7.56,-0.1,-1.3228,71478.72,53761.839
508,000070.SZ,20210226,7.35,7.57,7.32,7.49,7.46,0.03,0.4021,90340.89,67607.972
507,000070.SZ,20210301,7.47,7.67,7.47,7.66,7.49,0.17,2.2697,91872.98,69704.121
506,000070.SZ,20210302,7.67,7.7,7.51,7.55,7.66,-0.11,-1.436,79823.77,60295.654
505,000070.SZ,20210303,7.54,7.64,7.42,7.53,7.55,-0.02,-0.2649,77938.38,58488.672
504,000070.SZ,20210304,7.53,7.58,7.42,7.44,7.53,-0.09,-1.1952,84952.43,63822.943
503,000070.SZ,20210305,7.35,7.55,7.25,7.49,7.44,0.05,0.672,118557.29,87909.81
502,000070.SZ,20210308,7.55,7.7,7.45,7.5,7.49,0.01,0.1335,123516.92,93905.242
501,000070.SZ,20210309,7.49,7.5,7.13,7.2,7.5,-0.3,-4.0,116264.72,84830.728
500,000070.SZ,20210310,7.27,7.27,6.9,6.93,7.2,-0.27,-3.75,122074.05,85752.197
499,000070.SZ,20210311,6.95,7.13,6.83,7.12,6.93,0.19,2.7417,85148.86,59692.512
498,000070.SZ,20210312,7.08,7.16,7.01,7.07,7.12,-0.05,-0.7022,54432.11,38444.641
497,000070.SZ,20210315,7.02,7.15,6.96,7.03,7.07,-0.04,-0.5658,59943.17,42193.976
496,000070.SZ,20210316,7.06,7.23,7.01,7.15,7.03,0.12,1.707,73333.75,52280.823
495,000070.SZ,20210317,7.22,7.34,7.11,7.34,7.15,0.19,2.6573,85674.73,62121.08
494,000070.SZ,20210318,7.3,7.34,7.14,7.16,7.34,-0.18,-2.4523,83227.37,59982.121
493,000070.SZ,20210319,7.1,7.22,7.05,7.11,7.16,-0.05,-0.6983,53339.74,38022.669
492,000070.SZ,20210322,7.16,7.16,7.06,7.11,7.11,0.0,0.0,58227.24,41349.191
491,000070.SZ,20210323,7.11,7.16,6.98,7.01,7.11,-0.1,-1.4065,61456.11,43237.044
490,000070.SZ,20210324,6.99,7.06,6.94,6.96,7.01,-0.05,-0.7133,60054.33,41937.124
489,000070.SZ,20210325,6.96,7.02,6.85,6.92,6.96,-0.04,-0.5747,51327.84,35593.74
488,000070.SZ,20210326,6.92,6.98,6.86,6.96,6.92,0.04,0.578,50047.28,34693.64
487,000070.SZ,20210329,6.98,7.02,6.93,6.95,6.96,-0.01,-0.1437,42350.13,29496.564
486,000070.SZ,20210330,6.93,6.95,6.77,6.79,6.95,-0.16,-2.3022,69780.39,47635.213
485,000070.SZ,20210331,6.75,6.86,6.73,6.82,6.79,0.03,0.4418,43759.89,29731.518
484,000070.SZ,20210401,6.83,6.87,6.76,6.84,6.82,0.02,0.2933,37943.47,25888.098
483,000070.SZ,20210402,6.84,6.95,6.82,6.93,6.84,0.09,1.3158,74070.77,51133.41
482,000070.SZ,20210406,6.95,7.0,6.92,6.96,6.93,0.03,0.4329,40874.4,28392.308
481,000070.SZ,20210407,6.96,7.22,6.94,7.18,6.96,0.22,3.1609,124015.53,88486.998
480,000070.SZ,20210408,7.18,7.2,7.03,7.05,7.18,-0.13,-1.8106,74101.8,52591.309
479,000070.SZ,20210409,7.01,7.1,6.97,7.04,7.05,-0.01,-0.1418,44058.76,30957.724
478,000070.SZ,20210412,7.11,7.23,7.08,7.09,7.04,0.05,0.7102,90318.36,64568.032
477,000070.SZ,20210413,7.26,7.39,7.1,7.17,7.09,0.08,1.1283,105372.57,76072.151
476,000070.SZ,20210414,7.05,7.1,6.93,7.08,7.17,-0.09,-1.2552,80294.23,56419.121
475,000070.SZ,20210415,7.07,7.07,6.95,6.97,7.08,-0.11,-1.5537,57537.68,40239.356
474,000070.SZ,20210416,6.95,7.22,6.93,7.17,6.97,0.2,2.8694,89551.97,63685.354
473,000070.SZ,20210419,7.21,7.25,7.13,7.2,7.17,0.03,0.4184,87162.51,62516.366
472,000070.SZ,20210420,7.18,7.26,7.12,7.13,7.2,-0.07,-0.9722,75336.88,54160.918
471,000070.SZ,20210421,7.11,7.17,7.07,7.11,7.13,-0.02,-0.2805,46293.01,32933.334
