,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
542,002370.SZ,20210104,3.7,3.71,3.61,3.66,3.75,-0.09,-2.4,81773.57,29759.961
541,002370.SZ,20210105,3.64,3.66,3.56,3.6,3.66,-0.06,-1.6393,68266.89,24532.738
540,002370.SZ,20210106,3.6,3.6,3.4,3.42,3.6,-0.18,-5.0,107810.69,37192.947
539,002370.SZ,20210107,3.43,3.45,3.23,3.3,3.42,-0.12,-3.5088,112945.22,37414.562
538,002370.SZ,20210108,3.26,3.4,3.14,3.28,3.3,-0.02,-0.6061,85992.01,28128.211
537,002370.SZ,20210111,3.29,3.3,3.14,3.15,3.28,-0.13,-3.9634,77793.1,24826.213
536,002370.SZ,20210112,3.15,3.27,3.12,3.15,3.15,0.0,0.0,57322.35,18216.23
535,002370.SZ,20210113,3.15,3.16,3.02,3.07,3.15,-0.08,-2.5397,66169.33,20279.923
534,002370.SZ,20210114,3.36,3.38,3.36,3.38,3.07,0.31,10.0977,55237.14,18645.879
533,002370.SZ,20210115,3.72,3.72,3.72,3.72,3.38,0.34,10.0592,32231.07,11989.958
532,002370.SZ,20210118,3.8,4.09,3.72,4.09,3.72,0.37,9.9462,470594.75,185509.138
531,002370.SZ,20210119,4.29,4.5,3.9,4.5,4.09,0.41,10.0244,380054.93,161579.32
530,002370.SZ,20210120,4.63,4.95,4.51,4.95,4.5,0.45,10.0,319437.06,155738.776
529,002370.SZ,20210121,5.43,5.45,5.22,5.45,4.95,0.5,10.101,236184.37,128204.91
528,002370.SZ,20210122,5.8,5.8,4.91,4.91,5.45,-0.54,-9.9083,811288.24,418499.132
527,002370.SZ,20210125,4.42,5.2,4.42,4.68,4.91,-0.23,-4.6843,606850.68,283462.626
526,002370.SZ,20210126,4.3,4.37,4.21,4.21,4.68,-0.47,-10.0427,325138.97,137677.001
525,002370.SZ,20210127,4.0,4.16,3.79,3.83,4.21,-0.38,-9.0261,596618.01,233601.761
524,002370.SZ,20210128,3.85,4.02,3.56,3.8,3.83,-0.03,-0.7833,469944.74,178861.693
